Name,Borough/County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Saul,Brooklyn,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,
Scalini Fedeli,Manhattan,1 Michelin star,,,,,,,,,,,,,,
Seäsonal,Manhattan,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,
Semilla,Brooklyn,,,,,,,,,,,1 Michelin star,1 Michelin star,,,
Shalezeh,Manhattan,,,,,1 Michelin star,1 Michelin star,,,,,,,,,
SHO Shaun Hergatt,Manhattan,,,,,1 Michelin star,1 Michelin star,2 Michelin stars,,,,,,,,
La Sirena,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,,
Somtum Der,Manhattan,,,,,,,,,,,1 Michelin star,,,,
Soto,Manhattan,,,,,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,,,
The Spotted Pig,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,
Sushi Amane,Manhattan,,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star
Sushi Azabu,Manhattan,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,
Sushi Ginza Onodera,Manhattan,,,,,,,,,,,,1 Michelin star,2 Michelin stars,2 Michelin stars,1 Michelin star
Sushi Inoue,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Sushi Nakazawa,Manhattan,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
Sushi Noz,Manhattan,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
Sushi of Gari,Manhattan,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,
Sushi Yasuda,Manhattan,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Sushi Zo,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,,
Take Root,Brooklyn,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,
Tamarind Tribeca,Manhattan,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,
Telepan,Manhattan,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,,
Tempura Matsui,Manhattan,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Tetsu Basement,Manhattan,,,,,,,,,,,,,,2 Michelin stars,
Tori Shin,Manhattan,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,
Torrisi Italian Specialities,Manhattan,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,,,
Tulsi,Manhattan,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,
Tuome,Manhattan,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
Ukiyo,Manhattan,,,,,,,,,,,,,,,1 Michelin star
Uncle Boons,Manhattan,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Ushiwakamaru,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,,
La Vara,Brooklyn,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,
Veritas,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,,
Vong,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,,,,,,
Wallsé,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
wd~50,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,
Zabb Elee,Queens,,,,,,,,,,1 Michelin star,,,,,
ZZ's Clam Bar,Manhattan,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
